symbol,expiration,strike,right,timestamp,bid,ask,delta,theta,vega,rho,epsilon,lambda,gamma,vanna,charm,vomma,veta,vera,speed,zomma,color,ultima,d1,d2,dual_delta,dual_gamma,implied_vol,iv_error,underlying_timestamp,underlying_price
SPY,20190111,258.5,CALL,2019-01-11T14:42:00,0.29,0.32,0.4958,-2.8167,1.2561,0.0189,-0.019,427.6106,0.523,0.022,-21.2355,0.0007,0.0001,0.0,0.0,0.0,0.0,-0.0091,-0.0104,-0.0133,-0.4946,0.0,0.2421,-0.0008,2019-01-11T14:42:00,258.49
SPY,20190111,258.5,CALL,2019-01-11T14:43:00,0.28,0.31,0.4854,-2.8555,1.2472,0.0183,-0.0183,432.0325,0.5219,0.0645,-57.078,0.0073,0.0001,0.0,0.0,0.0,0.0,-0.091,-0.0366,-0.0395,-0.4842,0.0,0.2441,0.0013,2019-01-11T14:43:00,258.47
SPY,20190111,258.5,CALL,2019-01-11T14:44:00,0.37,0.4,0.5736,-2.853,1.2195,0.0213,-0.0214,389.5395,0.5123,-0.291,244.4874,0.168,-0.0001,0.0,0.0,0.0,0.0,-2.0253,0.1856,0.1826,-0.5724,0.0,0.246,0.0022,2019-01-11T14:44:00,258.64
SPY,20190111,258.5,CALL,2019-01-11T14:45:00,0.35,0.39,0.5572,-2.9596,1.2197,0.0205,-0.0205,390.5058,0.5072,-0.2209,191.9009,0.0982,-0.0001,0.0,0.0,0.0,0.0,-1.1626,0.144,0.1409,-0.556,0.0,0.2519,-0.0026,2019-01-11T14:45:00,258.61
SPY,20190111,258.5,CALL,2019-01-11T14:46:00,0.29,0.31,0.5064,-2.8685,1.2235,0.0183,-0.0184,437.231,0.5413,-0.0221,15.5192,0.001,0.0,0.0,0.0,0.0,0.0,-0.0139,0.0161,0.0133,-0.5053,0.0,0.2402,-0.0018,2019-01-11T14:46:00,258.51
SPY,20190111,258.5,CALL,2019-01-11T14:47:00,0.29,0.31,0.512,-2.8639,1.2149,0.0183,-0.0183,440.9937,0.5492,-0.0457,35.823,0.0042,0.0,0.0,0.0,0.0,0.0,-0.053,0.0301,0.0273,-0.5109,0.0,0.2382,0.0005,2019-01-11T14:47:00,258.52
SPY,20190111,258.5,CALL,2019-01-11T14:48:00,0.3,0.33,0.5062,-3.0494,1.2069,0.0178,-0.0179,422.7627,0.5232,-0.0202,15.3227,0.0009,0.0,0.0,0.0,0.0,0.0,-0.0116,0.0157,0.0127,-0.505,0.0,0.2519,-0.0013,2019-01-11T14:48:00,258.51
SPY,20190111,258.5,CALL,2019-01-11T14:49:00,0.26,0.28,0.4644,-3.0809,1.1935,0.0161,-0.0162,442.9859,0.521,0.1442,-138.7731,0.0386,0.0001,0.0,0.0,0.0,0.0,-0.4553,-0.0891,-0.0921,-0.4632,0.0,0.2539,0.0035,2019-01-11T14:49:00,258.43
SPY,20190111,258.5,CALL,2019-01-11T14:50:00,0.28,0.31,0.501,-2.9971,1.1901,0.0172,-0.0172,445.1039,0.5477,0.0004,-3.8161,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0025,-0.0002,-0.4998,0.0,0.2441,0.0033,2019-01-11T14:50:00,258.5
SPY,20190111,258.5,CALL,2019-01-11T14:51:00,0.29,0.31,0.501,-3.139,1.1815,0.0169,-0.017,431.1006,0.5304,0.0005,-3.8626,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0025,-0.0003,-0.4998,0.0,0.2539,0.0014,2019-01-11T14:51:00,258.5
